geoid10,nhid,nhname
8031007088,78,Windsor
8031007089,78,Windsor
8031008304,45,Montbello
8031008305,45,Montbello
8031008306,45,Montbello
8031008312,45,Montbello
8031008386,45,Montbello
8031008387,45,Montbello
8031008388,28,Gateway - Green Valley Ranch
8031008389,28,Gateway - Green Valley Ranch
8031008390,28,Gateway - Green Valley Ranch
8031008391,28,Gateway - Green Valley Ranch
8031011902,6,Bear Valley
8031011903,6,Bear Valley
8031012001,27,Fort Logan
8031012010,44,Marston
8031012014,44,Marston
8031015300,72,Washington Virginia Vale
8031015400,52,Regis
8031015500,69,Virginia Village
8031015600,19,College View
8031015700,35,Harvey Park South
8031980000,23,DIA
8031980100,45,Montbello
8033000100,,
8035013901,207,Parker
8035013904,205,Parker North and Parker Heights
8035013905,207,Parker
8035013907,207,Parker
8035013908,216,Pinery Park
8035013909,213,Lemon Gulch
8035013910,216,Pinery Park
8035013911,216,Pinery Park
8035014001,203,Stonegate
8035014005,203,Stonegate
8035014006,203,Stonegate
8035014007,203,Stonegate
8035014008,203,Stonegate
8035014009,203,Stonegate
8035014010,203,Stonegate
8035014011,214,Meridian International Business Center
8035014012,213,Lemon Gulch
8035014013,213,Lemon Gulch
8035014107,220,Highlands Ranch West
8035014108,220,Highlands Ranch West
8035014109,222,Highlands Ranch Southeast
8035014110,221,Highlands Ranch East
8035014112,221,Highlands Ranch East
8035014113,221,Highlands Ranch East
8035014114,203,Stonegate
8035014115,221,Highlands Ranch East
8035014116,203,Stonegate
8035014122,217,Castle Pines North
8035014123,219,Castle Pines Villige
8035014124,220,Highlands Ranch West
8035014125,217,Castle Pines North
8035014126,220,Highlands Ranch West
8035014127,217,Castle Pines North
8035014128,220,Highlands Ranch West
8035014129,220,Highlands Ranch West
8035014130,220,Highlands Ranch West
8035014131,220,Highlands Ranch West
8035014132,222,Highlands Ranch Southeast
8035014133,220,Highlands Ranch West
8035014134,221,Highlands Ranch East
8035014135,206,Highlands
8035014136,221,Highlands Ranch East
8035014137,221,Highlands Ranch East
8035014138,221,Highlands Ranch East
8035014139,221,Highlands Ranch East
8035014140,221,Highlands Ranch East
8035014202,204,East Pike National Forest
8035014203,201,Roxborough Park
8035014204,208,East Roxborough Park
8035014300,202,Pike National Forest
8035014403,209,Continental Divide Raceway
8035014404,204,East Pike National Forest
8035014405,218,Red Hawk and Solitude Colorado
8035014406,218,Red Hawk and Solitude Colorado
8035014503,218,Red Hawk and Solitude Colorado
8035014504,215,Glover
8035014505,215,Glover
8035014506,209,Continental Divide Raceway
8035014602,210,Russellville
8035014603,212,Mitchell Culch Park
8035014604,211,Castlewood Ranch
8037000100,,
8037000200,,
8037000301,,
8037000302,,
8037000401,,
8037000402,,
8037000403,,
8037000501,,
8037000502,,
8037000503,,
8037000600,,
8037000701,,
8037000702,,
8037000703,,
8039961100,,
8039961204,,
8039961205,,
8039961206,,
8039961207,,
8039961208,,
8039961209,,
8041000101,,
8041000102,,
8041000202,,
8041000203,,
8041000301,,
8041000302,,
8041000400,,
8041000500,,
8041000600,,
8041000700,,
8041000800,,
8041000900,,
8041001000,,
8041001101,,
8041001104,,
8041001301,,
8041001302,,
8041001400,,
8041001500,,
8041001600,,
8041001700,,
8041001800,,
8041001900,,
8041002000,,
8041002101,,
8041002102,,
8041002200,,
8041002300,,
8041002400,,
8041002501,,
8041002502,,
8041002700,,
8041002800,,
8041002900,,
8041003000,,
8041003100,,
8041003303,,
8041003305,,
8041003306,,
8041003307,,
8041003308,,
8041003400,,
8041003701,,
8041003702,,
8041003705,,
8041003706,,
8041003707,,
8041003708,,
8041003709,,
8041003801,,
8041003802,,
8041003902,,
8041003905,,
8041003906,,
8041003909,,
8041004008,,
