"","geo_id","tract","tract_num","less10","10to19","20to29","30to39","40to59","60to89","90plus","total_outside","workedhome","total","avgcommute"
"97","08001988700","Census Tract 9887, Adams County, Colorado",988700,0,0,0,0,0,0,0,0,0,0,NA
"98","08005004951","Census Tract 49.51, Arapahoe County, Colorado",4951,169,667,190,319,179,107,57,1688,111,1799,"27"
"99","08005004952","Census Tract 49.52, Arapahoe County, Colorado",4952,201,404,479,303,148,107,8,1650,141,1791,"25"
"100","08005005551","Census Tract 55.51, Arapahoe County, Colorado",5551,142,280,586,204,188,49,24,1473,142,1615,"26"
"101","08005005552","Census Tract 55.52, Arapahoe County, Colorado",5552,110,237,274,262,104,49,12,1048,43,1091,"26"
"102","08005005553","Census Tract 55.53, Arapahoe County, Colorado",5553,225,546,384,269,328,114,130,1996,53,2049,"33"
"103","08005005611","Census Tract 56.11, Arapahoe County, Colorado",5611,288,814,336,477,307,95,30,2347,220,2567,"25"
"104","08005005612","Census Tract 56.12, Arapahoe County, Colorado",5612,159,544,452,400,133,43,10,1741,91,1832,"23"
"105","08005005614","Census Tract 56.14, Arapahoe County, Colorado",5614,145,553,302,298,170,10,19,1497,164,1661,"23"
"106","08005005619","Census Tract 56.19, Arapahoe County, Colorado",5619,122,495,500,477,471,99,24,2188,257,2445,"28"
"107","08005005620","Census Tract 56.20, Arapahoe County, Colorado",5620,257,250,328,335,182,66,34,1452,71,1523,"28"
"108","08005005621","Census Tract 56.21, Arapahoe County, Colorado",5621,58,435,297,276,203,60,0,1329,261,1590,"25"
"109","08005005622","Census Tract 56.22, Arapahoe County, Colorado",5622,65,214,253,175,168,43,0,918,162,1080,"26"
"110","08005005623","Census Tract 56.23, Arapahoe County, Colorado",5623,291,483,469,419,331,116,29,2138,183,2321,"26"
"111","08005005624","Census Tract 56.24, Arapahoe County, Colorado",5624,153,207,183,165,109,20,25,862,106,968,"27"
"112","08005005625","Census Tract 56.25, Arapahoe County, Colorado",5625,192,490,195,394,102,49,0,1422,168,1590,"22"
"113","08005005626","Census Tract 56.26, Arapahoe County, Colorado",5626,220,603,406,203,213,107,9,1761,193,1954,"24"
"114","08005005627","Census Tract 56.27, Arapahoe County, Colorado",5627,176,581,466,256,294,74,51,1898,401,2299,"27"
"115","08005005628","Census Tract 56.28, Arapahoe County, Colorado",5628,266,1318,525,422,335,95,5,2966,195,3161,"21"
"116","08005005629","Census Tract 56.29, Arapahoe County, Colorado",5629,47,383,136,195,80,54,23,918,154,1072,"28"
"117","08005005630","Census Tract 56.30, Arapahoe County, Colorado",5630,266,821,791,323,328,78,43,2650,358,3008,"24"
"118","08005005631","Census Tract 56.31, Arapahoe County, Colorado",5631,117,373,399,293,260,100,61,1603,148,1751,"30"
"119","08005005632","Census Tract 56.32, Arapahoe County, Colorado",5632,270,405,333,218,220,51,9,1506,185,1691,"23"
"120","08005005633","Census Tract 56.33, Arapahoe County, Colorado",5633,125,519,338,362,217,16,0,1577,144,1721,"23"
"121","08005005634","Census Tract 56.34, Arapahoe County, Colorado",5634,115,410,224,306,232,48,0,1335,140,1475,"25"
"122","08005005635","Census Tract 56.35, Arapahoe County, Colorado",5635,164,476,581,377,338,51,0,1987,206,2193,"24"
"123","08005005636","Census Tract 56.36, Arapahoe County, Colorado",5636,40,290,187,96,36,11,0,660,143,803,"20"
"124","08005005700","Census Tract 57, Arapahoe County, Colorado",5700,182,672,521,447,191,61,43,2117,79,2196,"25"
"125","08005005800","Census Tract 58, Arapahoe County, Colorado",5800,94,297,522,185,223,11,8,1340,115,1455,"25"
"126","08005005951","Census Tract 59.51, Arapahoe County, Colorado",5951,203,693,400,367,293,195,15,2166,128,2294,"27"
"127","08005005952","Census Tract 59.52, Arapahoe County, Colorado",5952,131,392,401,493,97,27,14,1555,55,1610,"24"
