SITUS_ZIP,TOTAL_VALUE
80205-4245,322600
80206-1160,464300
None,40000
80219-5322,220900
80209-4411,1018000
80249-8412,375300
80211-2642,389300
80209-4527,968300
80238-3847,652900
80219-2353,212300
None,358000
80210-4033,553500
80216-2532,276800
80211-3597,823900
80219-5658,658100
80219-1405,224800
80218-3924,1833300
80239-5105,266100
80210-1914,502000
80123-5166,488100
None,100
80246-3234,283400
80249-8691,271600
80206-1525,1662100
80212-1921,601200
80210-4013,571000
80123-1846,8280000
80210-3613,436100
None,1542200
80220-2011,284500
80207-3931,465200
80211-3528,941900
80210-6705,910700
80123-0677,776500
80219-5945,315300
80210-1826,724800
80211-3548,748000
80207-2303,276800
80223-1514,309100
None,903200
80216-2626,216300
80204-3159,278500
None,452700
80236-2523,198500
80211-1569,664400
80246-2307,348100
80218-3808,346700
80231-2625,493800
80205-5065,622800
None,100
80209-4437,704000
80231-4725,361900
80236-2010,301200
80209-2024,438400
80223-2234,212800
80227-3501,264700
80224-1025,929900
80227-3830,292400
80239-4284,248400
80210-3324,423500
80206-4451,1145700
80239-4390,246000
80205-4841,359000
80222-5310,1061000
80219-5160,272800
80211-3335,532300
80236-2160,285800
80209-5007,375800
80238-2996,520000
80249-8582,250000
80211-1826,371900
80239-5601,227100
80206-2505,837800
80249-8107,306300
80210-1815,1114300
80238-2724,383700
80218-1016,506600
None,714100
80123-1612,312700
80210-1520,382300
80211-4629,428500
80204-3224,222900
80249-8290,285700
80210-4044,456800
80239-4100,254600
80218-3922,1410100
80207-2843,391400
80239-3625,268000
80205-2243,482400
80239-3723,255300
80212-2556,383800
80219-2133,264200
80210-6229,570600
80211-1158,268600
80211-3824,394200
80230-4892,561600
None,100
80227-4151,247900
80227-4152,325100
None,261500
80219-3586,1058400
80204-1412,390500
80219-3138,194100
80209-1816,450100
80204-1410,344600
80211-1926,365100
80205-5562,534500
80210-3022,659000
80219-5120,301000
80249-6619,264800
80239-5666,258600
80219-5738,334500
80246-8108,622900
80220-5247,415300
80223-3318,287900
80249-7242,240800
80249-8026,273000
80230-7034,765600
80237-2126,482500
80219-1605,243200
80204-2953,158400
80212-2162,478100
80224-2517,382000
80218-2330,743000
80220-2244,217300
80249-8281,290400
80219-5706,256800
80216-2214,24000
80239-5183,216500
None,628800
80224-2746,953200
80207-2608,345600
80209-4727,1722200
80235-3050,648500
80216,100
80219-3726,223800
80238-3807,414700
None,302700
None,468000
80249-7606,307500
80219-4265,260400
80249-8040,269100
80206-2704,476800
80211-3910,2447600
80231-4527,351900
80209-5115,610000
80206-4541,745600
80249-7179,317200
80235-3129,526500
80219-5823,233900
80207-3904,671000
80238-3163,459700
80224-1953,394600
80204-3119,227400
80218-2206,680500
80211-2231,550600
80247-1955,376700
None,565900
80223-1818,432400
80203-3816,520400
80249-7321,383000
80249-8175,287300
80211-1153,302300
None,None
None,None
80212-2841,464200
80249-8609,261400
80219-5823,256600
80237-2542,509400
80224-2710,512800
80216-2927,197800
80219-5949,243500
None,100
80237-1305,530500
80219-3937,256800
80249-6980,231200
80239-4126,236700
80209-4506,1190600
80211-1535,431300
80219-4456,281500
80249-6956,305100
80205-4260,355700
None,100
80249-7313,254900
80211-4734,404300
80227-5459,340500
80219-1031,219300
80237-1650,375100
80239-4210,252300
80207-3153,491900
80206-4042,584000
80216-4837,479500
80210-1821,992500
80211-1453,394100
80219-2401,183900
None,693900
80210-3202,631900
80219-5829,236100
80207-2134,381500
80211-3817,346100
80207-3148,617500
80216-2205,271000
80219-4221,255300
80219-2742,184900
80238-3058,440600
80220-1110,533600
80223-1129,296400
None,291700
80219-5638,293800
80219-5851,209900
None,488000
80210-2035,416400
80211-4517,521700
80227-3555,304600
80211-2742,424600
80211-1519,541000
80222-7540,364100
80206-4129,1875900
80238-3511,775500
80207-3556,272700
80205-2930,404800
80207-3256,456300
80219-5973,251300
80205-2713,660000
None,1432900
80210-2102,1304800
80237-2133,426700
80207-2119,316000
80207-1861,218600
80210-1804,729300
None,528400
80209-4514,1096800
80209-4337,637000
80239-5179,242600
80239-7024,255700
80222-3552,323300
80204-4313,466000
80206-3815,610800
80238-3299,614200
80220-4756,451400
80219-3956,223400
None,3544400
80231-4725,357300
80220-2117,242000
80209-2323,645500
80231-5673,203700
80211-3130,412700
80236-2509,227400
80239-5012,220800
80205-4723,292700
None,445000
80239-4275,292900
None,2700
80219-1410,235700
80210-1823,1787200
80231-8000,434500
80223-1142,1711600
80236-3251,472000
80219-4925,190700
80210-2735,815100
80205-4160,405700
80210-2034,1553100
80219-4909,258300
80239-6436,262600
80207-3205,435000
80210-3339,462100
80219-3131,212200
80239-5120,236200
80249-7256,191400
80227-4123,333600
80238-3823,563800
80211-2902,853600
80222-7546,359800
None,356400
80216-4111,191500
80203-4035,804800
80211-3144,548500
80220-5635,1047000
80206-2411,598100
80219-2548,210100
None,713900
80235-3108,643500
80205-5513,429300
80205-4948,409500
80211-1570,301800
80236-6003,205100
80218-3639,945600
80211-2130,343900
80211-2717,384300
80210-1508,609700
80204-1678,567900
80211-2836,445600
80209-1814,264800
80219-4335,261400
80216-3522,213400
80218-3625,1003200
80207-3136,573800
80204-3814,869700
80239-3409,1315000
80207-3552,374200
80249-8433,353800
