"","county","distcode","district","schoolcode","school","cohort","gradrate"
"102","ADAMS","0040","SCHOOL DISTRICT 27J","2399","Eagle Ridge Academy","20152016","0.94623655913978399"
"103","ADAMS","0040","SCHOOL DISTRICT 27J","2399","Eagle Ridge Academy","20142015","0.90109890109890101"
"104","ADAMS","0040","SCHOOL DISTRICT 27J","2399","Eagle Ridge Academy","20132014","0.88"
"105","ADAMS","0040","SCHOOL DISTRICT 27J","7129","Prairie View High School","20162017","0.84331797235022998"
"106","ADAMS","0040","SCHOOL DISTRICT 27J","7129","Prairie View High School","20152016","0.90909090909090895"
"107","ADAMS","0040","SCHOOL DISTRICT 27J","7129","Prairie View High School","20142015","0.87921348314606695"
"108","ADAMS","0040","SCHOOL DISTRICT 27J","7129","Prairie View High School","20132014","0.91183879093198905"
"109","ADAMS","0040","SCHOOL DISTRICT 27J","9998","DISTRICT TOTAL","20162017","0.77360219981668099"
"110","ADAMS","0040","SCHOOL DISTRICT 27J","9998","DISTRICT TOTAL","20152016","0.82854494902687603"
"111","ADAMS","0040","SCHOOL DISTRICT 27J","9998","DISTRICT TOTAL","20142015","0.82165605095541405"
"112","ADAMS","0040","SCHOOL DISTRICT 27J","9998","DISTRICT TOTAL","20132014","0.86850477200424103"
"113","ADAMS","0050","BENNETT 29J","0775","Bennett High School","20162017","0.88636363636363602"
"114","ADAMS","0050","BENNETT 29J","0775","Bennett High School","20152016","0.78571428571428503"
"115","ADAMS","0050","BENNETT 29J","0775","Bennett High School","20142015","0.78461538461538405"
"116","ADAMS","0050","BENNETT 29J","0775","Bennett High School","20132014","0.87301587301587302"
"117","ADAMS","0050","BENNETT 29J","9998","DISTRICT TOTAL","20162017","0.88636363636363602"
"118","ADAMS","0050","BENNETT 29J","9998","DISTRICT TOTAL","20152016","0.78571428571428503"
"119","ADAMS","0050","BENNETT 29J","9998","DISTRICT TOTAL","20142015","0.78461538461538405"
"120","ADAMS","0050","BENNETT 29J","9998","DISTRICT TOTAL","20132014","0.87301587301587302"
"121","ADAMS","0060","STRASBURG 31J","7133","Prairie Creeks Charter School","20162017","0.42857142857142799"
"122","ADAMS","0060","STRASBURG 31J","7133","Prairie Creeks Charter School","20152016","0.83333333333333304"
"123","ADAMS","0060","STRASBURG 31J","7133","Prairie Creeks Charter School","20142015","0.9"
"124","ADAMS","0060","STRASBURG 31J","7133","Prairie Creeks Charter School","20132014","0.75"
"125","ADAMS","0060","STRASBURG 31J","8334","Strasburg High School","20162017","0.89156626506023995"
"126","ADAMS","0060","STRASBURG 31J","8334","Strasburg High School","20152016","0.94047619047619002"
"127","ADAMS","0060","STRASBURG 31J","8334","Strasburg High School","20142015","0.96250000000000002"
"128","ADAMS","0060","STRASBURG 31J","8334","Strasburg High School","20132014","0.95714285714285696"
"129","ADAMS","0060","STRASBURG 31J","9998","DISTRICT TOTAL","20162017","0.85555555555555496"
"130","ADAMS","0060","STRASBURG 31J","9998","DISTRICT TOTAL","20152016","0.93333333333333302"
"131","ADAMS","0060","STRASBURG 31J","9998","DISTRICT TOTAL","20142015","0.95555555555555505"
"132","ADAMS","0060","STRASBURG 31J","9998","DISTRICT TOTAL","20132014","0.93589743589743501"
"133","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","3931","Hidden Lake High School","20162017","0.20382165605095501"
"134","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","3931","Hidden Lake High School","20152016","0.38461538461538403"
"135","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","3931","Hidden Lake High School","20142015","0.53435114503816705"
"136","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","3931","Hidden Lake High School","20132014","0.50326797385620903"
"137","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","9466","Westminster High School","20162017","0.69795918367346899"
"138","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","9466","Westminster High School","20152016","0.79282868525896399"
"139","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","9466","Westminster High School","20142015","0.781007751937984"
"140","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","9466","Westminster High School","20132014","0.79411764705882304"
"141","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","9998","DISTRICT TOTAL","20162017","0.57805255023183899"
"142","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","9998","DISTRICT TOTAL","20152016","0.69001490312965696"
"143","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","9998","DISTRICT TOTAL","20142015","0.73106646058732605"
"144","ADAMS","0070","WESTMINSTER PUBLIC SCHOOLS","9998","DISTRICT TOTAL","20132014","0.72337042925278205"
"145","ARAPAHOE","0120","ENGLEWOOD 1","0206","Colorado'S Finest High School Of Choice","20162017","0.28799999999999998"
"146","ARAPAHOE","0120","ENGLEWOOD 1","0206","Colorado'S Finest High School Of Choice","20152016","0.38938053097345099"
"147","ARAPAHOE","0120","ENGLEWOOD 1","0206","Colorado'S Finest High School Of Choice","20142015","0.36036036036036001"
"148","ARAPAHOE","0120","ENGLEWOOD 1","0206","Colorado'S Finest High School Of Choice","20132014","0.46956521739130402"
"149","ARAPAHOE","0120","ENGLEWOOD 1","2746","Englewood High School","20162017","0.68789808917197404"
"150","ARAPAHOE","0120","ENGLEWOOD 1","2746","Englewood High School","20152016","0.825806451612903"
"151","ARAPAHOE","0120","ENGLEWOOD 1","2746","Englewood High School","20142015","0.76158940397350905"
"152","ARAPAHOE","0120","ENGLEWOOD 1","2746","Englewood High School","20132014","0.77777777777777701"
"153","ARAPAHOE","0120","ENGLEWOOD 1","9998","DISTRICT TOTAL","20162017","0.51063829787234005"
"154","ARAPAHOE","0120","ENGLEWOOD 1","9998","DISTRICT TOTAL","20152016","0.64179104477611904"
"155","ARAPAHOE","0120","ENGLEWOOD 1","9998","DISTRICT TOTAL","20142015","0.59160305343511399"
"156","ARAPAHOE","0120","ENGLEWOOD 1","9998","DISTRICT TOTAL","20132014","0.64552238805970097"
"157","ARAPAHOE","0123","SHERIDAN 2","7842","Sheridan High School","20162017","0.88235294117647001"
"158","ARAPAHOE","0123","SHERIDAN 2","7842","Sheridan High School","20152016","0.88732394366197098"
"159","ARAPAHOE","0123","SHERIDAN 2","7842","Sheridan High School","20142015","0.92957746478873204"
"160","ARAPAHOE","0123","SHERIDAN 2","7842","Sheridan High School","20132014","0.95774647887323905"
