id,geoid10,nhid,nhname,createdAt,updatedAt
119,8005005628,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
120,8005005629,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
121,8005005630,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
122,8005005631,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
123,8005005632,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
124,8005005633,276,South Littleton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
125,8005005634,276,South Littleton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
126,8005005635,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
127,8005005636,303,Greenwood Village,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
128,8005005700,304,Englewood,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
129,8005005800,304,Englewood,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
130,8005005951,304,Englewood,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
131,8005005952,304,Englewood,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
611,8041001700,,,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
132,8005006000,304,Englewood,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
133,8005006100,304,Englewood,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
134,8005006200,270,Littleton North,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
135,8005006300,304,Englewood,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
136,8005006400,304,Englewood,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
137,8005006501,271,City Hall,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
138,8005006502,272,Sterne Park and Slaughterhouse Gulch Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
139,8005006601,273,Northeast Littleton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
140,8005006603,273,Northeast Littleton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
141,8005006604,273,Northeast Littleton,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
142,8005006704,302,Cherry Hills Village,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
143,8005006705,302,Cherry Hills Village,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
144,8005006706,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
145,8005006707,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
146,8005006708,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
147,8005006709,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
148,8005006711,128,West Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
149,8005006712,303,Greenwood Village,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
150,8005006713,303,Greenwood Village,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
151,8005006808,125,Cherry Creek Reservoir,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
152,8005006815,122,Centennial Airport,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
153,8005006854,125,Cherry Creek Reservoir,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
154,8005006855,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
155,8005006856,122,Centennial Airport,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
156,8005006857,125,Cherry Creek Reservoir,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
157,8005006858,122,Centennial Airport,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
158,8005007101,115,East Arapaphoe,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
159,8005007103,115,East Arapaphoe,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
160,8005007104,129,Southeast Aurora,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
161,8005007105,288,Central East Aurora,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
162,8005007106,129,Southeast Aurora,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
163,8005007107,155,Heritage Eagle Bend,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
164,8005007201,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
165,8005007202,284,"'"Delmar Parkway",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
166,8005007301,284,"'"Delmar Parkway",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
167,8005007302,284,"'"Delmar Parkway",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
168,8005007400,284,"'"Delmar Parkway",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
169,8005007500,284,"'"Delmar Parkway",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
170,8005007600,284,"'"Delmar Parkway",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
171,8005007702,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
172,8005007703,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
173,8005007704,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
174,8005015100,83,Holly Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
175,8005080000,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
176,8005080100,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
177,8005080200,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
178,8005080300,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
179,8005080400,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
180,8005080500,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
181,8005080600,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
182,8005080700,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
183,8005080800,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
184,8005080900,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
185,8005081000,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
186,8005081100,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
187,8005081200,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
188,8005081300,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
189,8005081400,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
190,8005081500,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
191,8005081600,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
192,8005081700,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
193,8005081800,287,Chambers Heights and Laredo Highline,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
194,8005081900,91,Laredo Highline,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
195,8005082000,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
264,8013012204,309,Whittier(Boulder County),2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
196,8005082100,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
197,8005082200,153,Utah Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
198,8005082300,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
199,8005082400,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
200,8005082500,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
201,8005082600,152,Exposition Park and Aurora Hills,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
202,8005082700,298,Aurora Highlands and Side Creek,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
203,8005082800,298,Aurora Highlands and Side Creek,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
204,8005082900,298,Aurora Highlands and Side Creek,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
205,8005083000,151,Conservatory,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
206,8005083100,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
207,8005083200,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
208,8005083300,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
209,8005083400,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
210,8005083500,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
211,8005083600,125,Cherry Creek Reservoir,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
212,8005083700,126,Northeast Centennial,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
213,8005083800,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
214,8005083900,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
215,8005084000,150,Mission Viejo,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
216,8005084100,156,Summer Valley Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
217,8005084200,156,Summer Valley Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
218,8005084300,156,Summer Valley Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
219,8005084400,156,Summer Valley Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
220,8005084500,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
221,8005084600,154,Olympic Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
