nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
115,dist1,2136,DEER TRAIL ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000BC310400C7025AC0F0BDF8A23DCE4340
115,dist2,1168,BYERS ELEMENTARY SCHOOL,Preschool,6th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
115,dist3,3362,VALIANT ACADEMY,Kindergarten,12th Grade,ARAPAHOE,0101000000D8C743DFDD0D5AC0B8E9CF7EA4DA4340
116,dist1,1382,CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,Kindergarten,5th Grade,ARAPAHOE,01010000003CEC4CA1F3415AC0A88F4E5DF9CE4340
116,dist2,4498,KAISER ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,0101000000BC4CDBBFB2425AC078CD1DFD2FD14340
116,dist3,9600,WILDER ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000308CBB41B4425AC0381763601DCD4340
12,dist1,6088,DORA MOORE ECE-8 SCHOOL,Preschool,8th Grade,DENVER,01010000008CD5E6FF553E5AC0B0E908E066DD4340
12,dist2,1056,BROMWELL ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000090F0BDBF413D5AC0E0BEB9BF7ADC4340
12,dist3,8776,TELLER ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,01010000007869C361693C5AC04041D47D00DE4340
122,dist1,1796,COLORADO CONNECTIONS ACADEMY,Kindergarten,12th Grade,ARAPAHOE,0101000000743FA7203F375AC07064027E8DC84340
122,dist2,1916,COTTONWOOD CREEK ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000609D6340F6365AC0D052245F09CE4340
122,dist3,7277,RED HAWK RIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000AC9B525E2B335AC000467BBC90CA4340
125,dist1,714,BELLEVIEW ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000068F4311F10385AC0E0C4909C4CD04340
125,dist2,1916,COTTONWOOD CREEK ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000609D6340F6365AC0D052245F09CE4340
125,dist3,4383,JOE SHOEMAKER SCHOOL,Preschool,5th Grade,DENVER,0101000000B8FE243E77375AC078DCD440F3D34340
126,dist1,8887,TRAILS WEST ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000388C82E0F1315AC0F84EB0FF3ACF4340
126,dist2,5744,MEADOW POINT ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,01010000003CE90B21E7315AC0A8F9D51C20D04340
126,dist3,4280,INDIAN RIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000024ED461FF3325AC0B08C7F9F71CF4340
127,dist1,1970,CREEKSIDE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000044C8409E5D305AC060DD955D30CA4340
127,dist2,16,FOX HOLLOW ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,010100000068AF3E1EFA315AC0403E93FDF3CC4340
127,dist3,7277,RED HAWK RIDGE ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000AC9B525E2B335AC000467BBC90CA4340
128,dist1,4078,HOMESTEAD ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000084B75012F3A5AC020C91EA166CA4340
128,dist2,5236,LOIS LENSKI ELEMENTARY SCHOOL,Kindergarten,5th Grade,ARAPAHOE,0101000000A4B35A608F3B5AC0F8DB65BFEECC4340
