"","nbhd","gradrate","grad.perc","cmasprof","cmas.perc","schoolquality"
"98","West Colfax",0.124967473328129,0.00961538461538462,18.4416666666667,0.0727272727272727,0.0411713286713287
"99","West Greenwood Village",0.865280656995379,0.451923076923077,45.05,0.604545454545454,0.528234265734266
"100","West Niwot",0.953126280960756,0.826923076923077,57.6291666666667,0.827272727272727,0.827097902097902
"101","Westwood",0.562014299036669,0.173076923076923,16.2471428571429,0.0363636363636364,0.10472027972028
"102","Whittier(Boulder County)",0.973683508974067,0.961538461538462,50.05,0.677272727272727,0.819405594405594
"103","Whittier(Denver County)",0.744110576923077,0.307692307692308,24.7875,0.222727272727273,0.26520979020979
"104","Wyco Park, Northeast Northglenn",0.931818181818181,0.740384615384615,53.7733333333333,0.731818181818182,0.736101398601399
"105","Alta Vista and Memorial Park",NA,NA,25.6285714285714,0.236363636363636,0.236363636363636
"106","Applewood, Echo Hill, Rolling Hills and Meadows",NA,NA,64.1229166666667,0.904545454545455,0.904545454545455
"107","Aurora Highlands and Side Creek",NA,NA,16.3142857142857,0.0409090909090909,0.0409090909090909
"108","Barnum",NA,NA,12.9166666666667,0.0227272727272727,0.0227272727272727
"109","Barnum West",NA,NA,24.15,0.195454545454545,0.195454545454545
"110","Barr Lake State Park",NA,NA,44.2,0.572727272727273,0.572727272727273
"111","Bell Park",NA,NA,69.1238095238095,0.95,0.95
"112","Berkeley",NA,NA,32.55,0.363636363636364,0.363636363636364
"113","Bowels Grove Park",NA,NA,47.8583333333333,0.654545454545455,0.654545454545455
"114","Castle Pines North",NA,NA,55.8912202380952,0.8,0.8
"115","Castlewood Ranch",NA,NA,38.8875,0.490909090909091,0.490909090909091
"116","Central North Broomfield",NA,NA,57.5722222222222,0.822727272727273,0.822727272727273
"117","Chaffee Park",NA,NA,16.3666666666667,0.05,0.05
"118","Chambers Heights and Laredo Highline",NA,NA,23.0190476190476,0.163636363636364,0.163636363636364
"119","Cherry Creek",NA,NA,75.0333333333333,0.981818181818182,0.981818181818182
"120","Cherry Hills Village Area",NA,NA,80.0666666666667,0.990909090909091,0.990909090909091
"121","Clubcrest",NA,NA,55.6625,0.790909090909091,0.790909090909091
"122","Cole",NA,NA,22.3144444444444,0.140909090909091,0.140909090909091
"123","College View",NA,NA,34.12,0.390909090909091,0.390909090909091
